date	mois	an	lieu	rr	etp	tempm	tempn	tempx
01/06/2011	juin	2011	ermitage	0	2.3	22.6	18.9	29.8
02/06/2011	juin	2011	ermitage	0	2.5	22.7	18.4	29.2
03/06/2011	juin	2011	ermitage	0	2.6	22.4	18.1	29.6
04/06/2011	juin	2011	ermitage	0	2.5	22.4	18.3	29.4
05/06/2011	juin	2011	ermitage	0	2.3	22.8	19.3	28.8
06/06/2011	juin	2011	ermitage	0	2.9	NA	18.5	28
07/06/2011	juin	2011	ermitage	0	2.2	22.9	18.5	29.6
08/06/2011	juin	2011	ermitage	0	2.3	22.3	18.6	28.3
09/06/2011	juin	2011	ermitage	0	2.6	22	18	29.3
10/06/2011	juin	2011	ermitage	0	2.5	22.1	18.3	29.3
11/06/2011	juin	2011	ermitage	0	2.7	22.2	17.9	27.8
12/06/2011	juin	2011	ermitage	30	1.5	22.7	19.9	28
13/06/2011	juin	2011	ermitage	58.5	2	22.5	19.5	28.4
14/06/2011	juin	2011	ermitage	18	1.4	20.7	17.9	25.4
15/06/2011	juin	2011	ermitage	0	1.8	21.6	17.9	29.1
16/06/2011	juin	2011	ermitage	0	2.1	22.3	19	28.7
17/06/2011	juin	2011	ermitage	0	1.8	22.4	19.4	27.6
18/06/2011	juin	2011	ermitage	21	2.3	22.7	19.2	27.7
19/06/2011	juin	2011	ermitage	0	2.5	21.8	17.6	25.6
20/06/2011	juin	2011	ermitage	0	2	NA	16.6	26
21/06/2011	juin	2011	ermitage	0	3.2	NA	16.6	27.3
22/06/2011	juin	2011	ermitage	0	2.2	20.1	16.2	26
23/06/2011	juin	2011	ermitage	0	2.2	22	18.9	27.8
24/06/2011	juin	2011	ermitage	0	1.8	21	17.2	27.1
25/06/2011	juin	2011	ermitage	0	3	21.5	17.7	27.5
26/06/2011	juin	2011	ermitage	0	1.4	22.6	19.6	27.3
27/06/2011	juin	2011	ermitage	0	1.4	22.1	18.4	25.9
28/06/2011	juin	2011	ermitage	0	2	22.2	18	27.9
29/06/2011	juin	2011	ermitage	0	1.7	22.1	19.2	27.7
30/06/2011	juin	2011	ermitage	0	1.7	20.8	17.5	27
01/07/2011	juillet	2011	ermitage	0	1.9	21.5	16.4	27
02/07/2011	juillet	2011	ermitage	0	2.2	22.9	19.3	27.6
03/07/2011	juillet	2011	ermitage	0	1.9	22.5	20.2	26.7
04/07/2011	juillet	2011	ermitage	3.5	2.5	21.4	17.2	27.4
05/07/2011	juillet	2011	ermitage	0	1.7	20.3	18.5	25.4
06/07/2011	juillet	2011	ermitage	0	2.1	20.1	16.5	26.6
07/07/2011	juillet	2011	ermitage	4	2.6	NA	16.5	27.2
08/07/2011	juillet	2011	ermitage	0	2.1	20.1	17.7	23.4
